src,dst,weight
dog,bark,4.8
baseball,sport,3.52965
college,place,2.4738
ball,toy,2.3238
dog,pet,2.2449
butter,food,2.2449
canada,country,2.2449
flies,insects,2.1633
love,feeling,2.1633
guitare,instrument,2.0784
gold,metal,2.03115
computers,compute,1.9899
city,place,1.9899
finch,bird,1.9899
bombs,explode,1.8975
car,crash,1.8975
cheese,food,1.8975
denim,fabric,1.8975
islam,religion,1.8975
math,subject,1.8975
dog,run,1.8
dogs,bark,1.8
planes,crash,1.8
tree,grow,1.8
brazil,country,1.8
christianity,religion,1.8
colorado,state,1.8
mercury,planet,1.8
badminton,sport,1.6971
chocolate,food,1.6971
crappie,fish,1.6971
fear,emotion,1.6971
german,language,1.6971
massachusetts,state,1.6971
paper,burn,1.5876
bar,place,1.5876
cappuccino,drink,1.5876
coffee,stimulant,1.5876
desert,terrain,1.5876
dog,mammal,1.5876
hibiscus,flower,1.5876
milk,liquid,1.5876
bass,fish,1.51275
football,game,1.512
water,freeze,1.4697
axe,tool,1.4697
circle,shape,1.4697
glue,substance,1.4697
god,concept,1.4697
ice,solid,1.4697
jogging,exercise,1.4697
michigan,state,1.4697
mouse,mammal,1.4697
musical,play,1.4697
moo,cow,1.44
in,out,1.41
left,right,1.4085
shove,push,1.404
chess,game,1.39395
doll,toy,1.38825
highway,road,1.3812
weep,cry,1.3755
biology,science,1.3734
trout,fish,1.3695
corn,vegetable,1.36335
halt,stop,1.359
tardy,late,1.3485
off,on,1.3455
exhausted,tired,1.3425
ball,roll,1.3416
love,hurt,1.3416
bathroom,room,1.3416
bed,place,1.3416
bees,insects,1.3416
brie,cheese,1.3416
criminals,people,1.3416
desk,furniture,1.3416
fish,animal,1.3416
frogs,animals,1.3416
game,activity,1.3416
gasoline,liquid,1.3416
georgia,state,1.3416
glock,gun,1.3416
handgun,weapon,1.3416
hate,emotion,1.3416
heat,energy,1.3416
holland,country,1.3416
hydrogen,element,1.3416
imac,computer,1.3416
iraq,country,1.3416
ireland,country,1.3416
iris,flower,1.3416
jesus,jew,1.3416
lettuce,vegetable,1.3416
light,energy,1.3416
maine,state,1.3416
mandolin,instrument,1.3416
east,west,1.329
husband,wife,1.3275
keg,beer,1.3275
cob,corn,1.323
saddle,horse,1.3185
scissors,cut,1.3185
on,off,1.317
dill,pickle,1.3035
bride,groom,1.2975
before,after,1.2885
margarine,butter,1.284
football,sport,1.27425
cobweb,spider,1.2735
pepperoni,pizza,1.2735
itch,scratch,1.272
trousers,pants,1.269
up,down,1.2675
web,spider,1.2675
assist,help,1.263
crib,baby,1.263
kitten,cat,1.26255
wick,candle,1.2615
meow,cat,1.2585
yolk,egg,1.2585
perspire,sweat,1.2555
jigsaw,puzzle,1.254
omelet,eggs,1.254
saltine,cracker,1.254
pane,window,1.2495
tapioca,pudding,1.2465
yes,no,1.245
comprehend,understand,1.2435
baseball,game,1.2429
bouquet,flowers,1.242
gravity,force,1.242
toad,frog,1.242
arithmetic,math,1.23855
ill,sick,1.236
lobe,ear,1.236
murder,crime,1.236
day,night,1.2285
plasma,blood,1.227
quack,duck,1.227
thunder,lightning,1.227
denim,jeans,1.2225
quench,thirst,1.2225
teller,bank,1.221
found,lost,1.2195
icing,cake,1.218
hilarious,funny,1.2165
him,her,1.2165
hive,bee,1.2135
sirloin,steak,1.2135
tuna,fish,1.212
marijuana,drug,1.20945
out,in,1.206
physician,doctor,1.206
slippery,wet,1.206
jupiter,planet,1.20405
hammer,nail,1.2
a,container,1.2
dolphins,swim,1.2
flies,fly,1.2
humans,run,1.2
iron,rust,1.2
mosquitoes,fly,1.2
water,flow,1.2
arkansas,state,1.2
armchair,chair,1.2
astronauts,people,1.2
atheists,people,1.2
atlanta,city,1.2
beer,beverage,1.2
bomb,device,1.2
burlap,fabric,1.2
cabbage,plant,1.2
carnation,flower,1.2
chickens,animals,1.2
classical,music,1.2
curry,spice,1.2
disgust,emotion,1.2
falcon,bird,1.2
ferrets,animals,1.2
germany,country,1.2
glue,adhesive,1.2
harmonica,instrument,1.2
ledger,book,1.2
mac,computer,1.2
mit,university,1.2
monkey,primate,1.2
anger,emotion,1.199002
bank,money,1.1985
despise,hate,1.1955
flipper,dolphin,1.1955
oak,tree,1.1925
library,book,1.191
bumble,bee,1.1895
cinema,movie,1.1895
quiz,test,1.188
hockey,sport,1.18695
rye,bread,1.1865
bulb,light,1.182
clorox,bleach,1.1805
auto,car,1.176
chirp,bird,1.176
frightened,scared,1.176
remain,stay,1.176
jog,run,1.1745
tulip,flower,1.173
french,language,1.1712
crayola,crayon,1.17
wardrobe,clothes,1.17
west,east,1.17
exam,test,1.167
low,high,1.1655
marrow,bone,1.1655
he,she,1.164
pistol,gun,1.161
king,queen,1.158
north,south,1.158
pal,friend,1.158
coke,soda,1.15695
opener,can,1.152
question,answer,1.1505
fatigue,tired,1.149
sketch,draw,1.146
xerox,copy,1.1445
cobra,snake,1.14285
fly,insect,1.14195
no,yes,1.1415
mom,dad,1.1385
throne,king,1.1385
china,country,1.13715
good,bad,1.137
thread,needle,1.137
win,lose,1.1355
table,chair,1.134
tribe,indian,1.134
america,country,1.132746
chowder,clam,1.1325
sob,cry,1.1325
washer,dryer,1.1325
cash,money,1.1301
lion,animal,1.12965
astronomy,star,1.1295
pony,horse,1.128
puppy,dog,1.128
bad,good,1.125
inexpensive,cheap,1.125
attempt,try,1.1235
chicken,food,1.12215
petals,flower,1.122
beginning,end,1.1205
convent,nun,1.1205
lost,found,1.1205
swatter,fly,1.1205
aunt,uncle,1.119
brother,sister,1.119
infant,baby,1.119
salmon,fish,1.119
reply,answer,1.1175
sparrow,bird,1.1175
bluejay,bird,1.1145
there,here,1.1145
hog,pig,1.1115
dashboard,car,1.11
postage,stamp,1.11
she,he,1.11
vehicle,car,1.11
avenue,street,1.1085
row,boat,1.1085
spool,thread,1.1085
girl,boy,1.107
unhappy,sad,1.107
kite,fly,1.10205
tangerine,orange,1.0995
chill,cold,1.098
hare,rabbit,1.098
air,gas,1.0967
pilot,plane,1.0965
bashful,shy,1.095
nap,sleep,1.095
orchid,flower,1.095
queen,king,1.095
tepee,indian,1.0905
iron,metal,1.0887
new,old,1.0875
glacier,ice,1.0845
illness,sick,1.0845
open,close,1.0845
wrong,right,1.0845
caboose,train,1.0815
starving,hungry,1.0815
digit,number,1.08
sand,beach,1.0755
soil,dirt,1.0755
uncooked,raw,1.0755
crow,bird,1.0743
rectangle,square,1.074
front,back,1.0725
reflection,mirror,1.0725
blue,color,1.07145
intelligent,smart,1.0665
rip,tear,1.0665
dad,mom,1.065
automobile,car,1.0635
backward,forward,1.0635
calculus,math,1.0635
cap,hat,1.0635
father,mother,1.059
stumble,fall,1.059
uncle,aunt,1.059
gums,teeth,1.0575
elderly,old,1.0545
false,true,1.0545
one,two,1.0545
sap,tree,1.0545
boy,girl,1.0515
salt,pepper,1.0515
trigger,gun,1.0515
umbrella,rain,1.0515
you,me,1.0515
lily,flower,1.05075
filthy,dirty,1.05
quarrel,fight,1.0485
vanish,disappear,1.0485
zenith,television,1.047
odor,smell,1.0455
assistance,help,1.044
tall,short,1.044
top,bottom,1.044
yoke,egg,1.044
intoxicated,drunk,1.0425
oar,boat,1.0425
pepper,salt,1.0425
france,country,1.04145
chalk,board,1.041
south,north,1.041
box,container,1.0407
filth,dirt,1.0395
cat,scratch,1.0392
cat,sleep,1.0392
friend,talk,1.0392
frogs,swim,1.0392
penis,pee,1.0392
people,agree,1.0392
people,speak,1.0392
trees,die,1.0392
alien,person,1.0392
allies,alliance,1.0392
amiga,computer,1.0392
auk,bird,1.0392
austria,country,1.0392
basil,herb,1.0392
beagle,dog,1.0392
bin,container,1.0392
calcium,element,1.0392
celery,vegetable,1.0392
chinese,language,1.0392
cockroaches,insects,1.0392
congress,legislature,1.0392
cotton,plant,1.0392
cucumber,vegetable,1.0392
dallas,city,1.0392
dictionaries,books,1.0392
dna,molecule,1.0392
dogs,pets,1.0392
drawer,container,1.0392
earth,word,1.0392
epoxy,glue,1.0392
equestrian,sport,1.0392
ethanol,alcohol,1.0392
flamingo,bird,1.0392
fleas,insects,1.0392
garlic,ingredient,1.0392
garnet,stone,1.0392
geometry,mathematics,1.0392
geometry,subject,1.0392
herbs,plants,1.0392
hockey,game,1.0392
honda,car,1.0392
ibm,company,1.0392
india,country,1.0392
italy,country,1.0392
jam,spread,1.0392
knife,tool,1.0392
library,building,1.0392
menorah,candelabrum,1.0392
mexico,country,1.0392
microsoft,corporation,1.0392
mirror,surface,1.0392
moon,place,1.0392
moon,sphere,1.0392
feathers,bird,1.038
subtract,add,1.038
difficulty,hard,1.0365
noun,verb,1.035
britannica,encyclopedia,1.0335
discuss,talk,1.0335
racquet,ball,1.0335
slay,kill,1.0335
timid,shy,1.0335
night,day,1.029
california,state,1.0245
occupation,job,1.0245
plus,minus,1.0245
pupil,student,1.0245
bartender,drink,1.023
doze,sleep,1.023
hobo,bum,1.023
portrait,picture,1.023
sill,window,1.023
thick,thin,1.023
affection,love,1.021875
nest,bird,1.0215
chimpanzee,monkey,1.02
wag,tail,1.02
error,mistake,1.0185
globe,world,1.0185
bird,sing,1.01745
closed,open,1.017
cradle,baby,1.017
look,see,1.017
blackboard,chalk,1.014
done,finish,1.014
hot,cold,1.014
meatballs,spaghetti,1.0125
ants,insects,1.011486
arm,leg,1.0095
incorrect,wrong,1.0095
lather,soap,1.0095
swiss,cheese,1.0095
touch,feel,1.0095
yours,mine,1.0095
knob,door,1.008
chicken,meat,1.00695
flight,airplane,1.0035
rob,steal,1.0035
shiver,cold,1.0035
stump,tree,1.0035
buckle,belt,1.0005
dog,cat,1.0005
geometry,math,1.0005
joyous,happy,1.0005
hawk,bird,0.99675
chlorine,pool,0.996
eternity,forever,0.996
fuel,gas,0.996
pepsi,cold,0.996
plaything,toy,0.996
astrology,star,0.993
gallop,horse,0.993
jet,plane,0.993
regulations,rules,0.993
rich,poor,0.993
twinkle,star,0.993
cheddar,cheese,0.9915
man,woman,0.99
scrambled,eggs,0.99
sleepy,tired,0.99
tusk,elephant,0.99
gorilla,ape,0.98955
celebration,party,0.987
mower,lawn,0.987
niece,nephew,0.987
steeple,church,0.987
